"period_ID","zone","period_start_date","moon_phase","sampling_flag_plankton","sampling_flag_eDNA","sampling_flag_eDNA2","sampling_flag_sediment","sampling_flag_sediment2","sampling","n_replicas","sampling_type"
1,"Z1",2025-01-06,"Waxing",TRUE,FALSE,FALSE,FALSE,FALSE,"Plankton",3,"Plankton"
2,"Z1",2025-01-11,"Full",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
3,"Z1",2025-01-18,"Waning",TRUE,FALSE,FALSE,FALSE,FALSE,"Plankton",3,"Plankton"
4,"Z1",2025-01-25,"New",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
5,"Z1",2025-02-02,"Waxing",TRUE,TRUE,FALSE,FALSE,FALSE,"Plankton",3,"Plankton"
6,"Z1",2025-02-09,"Full",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
7,"Z1",2025-02-17,"Waning",TRUE,FALSE,FALSE,FALSE,FALSE,"Plankton",3,"Plankton"
8,"Z1",2025-02-24,"New",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
9,"Z1",2025-03-03,"Waxing",TRUE,FALSE,FALSE,FALSE,FALSE,"Plankton",3,"Plankton"
10,"Z1",2025-03-11,"Full",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
11,"Z1",2025-03-18,"Waning",TRUE,FALSE,FALSE,FALSE,FALSE,"Plankton",3,"Plankton"
12,"Z1",2025-03-25,"New",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
13,"Z1",2025-04-02,"Waxing",TRUE,FALSE,FALSE,FALSE,FALSE,"Plankton",3,"Plankton"
14,"Z1",2025-04-09,"Full",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
15,"Z1",2025-04-17,"Waning",TRUE,FALSE,FALSE,FALSE,FALSE,"Plankton",3,"Plankton"
16,"Z1",2025-04-24,"New",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
17,"Z1",2025-05-01,"Waxing",TRUE,TRUE,FALSE,TRUE,FALSE,"Plankton",3,"Plankton"
18,"Z1",2025-05-09,"Full",FALSE,FALSE,TRUE,FALSE,TRUE,"No sampling",0,"Plankton"
19,"Z1",2025-05-16,"Waning",TRUE,FALSE,FALSE,FALSE,FALSE,"Plankton",3,"Plankton"
20,"Z1",2025-05-24,"New",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
