"week_ID","zone","week_start_date","moon_phase","sampling_flag_plankton","sampling_flag_eDNA","sampling_flag_eDNA2","sampling_flag_sediment","sampling_flag_sediment2","sampling","n_replicas","sampling_calendar"
16,"Z2",2025-04-16,"Full",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
17,"Z2",2025-04-23,"Waning",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
18,"Z2",2025-04-30,"New",FALSE,TRUE,TRUE,TRUE,TRUE,"eDNA",3,"eDNA"
19,"Z2",2025-05-07,"Waxing",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
20,"Z2",2025-05-14,"Full",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
21,"Z2",2025-05-21,"Waning",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
22,"Z2",2025-05-28,"New",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
23,"Z2",2025-06-04,"Waxing",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
24,"Z2",2025-06-11,"Full",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
25,"Z2",2025-06-18,"Waning",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
26,"Z2",2025-06-25,"New",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
27,"Z2",2025-07-02,"Waxing",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
28,"Z2",2025-07-09,"Full",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
29,"Z2",2025-07-16,"Waning",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
30,"Z2",2025-07-23,"New",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
31,"Z2",2025-07-30,"Waxing",TRUE,TRUE,FALSE,FALSE,FALSE,"eDNA",3,"eDNA"
32,"Z2",2025-08-06,"Full",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
33,"Z2",2025-08-13,"Waning",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
34,"Z2",2025-08-20,"New",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
35,"Z2",2025-08-27,"Waxing",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
36,"Z2",2025-09-03,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
37,"Z2",2025-09-10,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
38,"Z2",2025-09-17,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
39,"Z2",2025-09-24,"New",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
